$0;1704998672775776504;1.15-SNAPSHOT;KIEKER;0db502b57f13;1;false;0;NANOSECONDS;0
$1;1704998681922602009;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681920484948;1704998681922588434;0db502b57f13;70;4
$1;1704998681922637978;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681916657096;1704998681922630524;0db502b57f13;67;3
$1;1704998681922877683;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681922737186;1704998681922867043;0db502b57f13;73;5
$1;1704998681922923410;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681922709454;1704998681922916697;0db502b57f13;72;4
$1;1704998681926395025;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681924470419;1704998681926375267;0db502b57f13;74;4
$1;1704998681926474967;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681921869457;1704998681926467192;0db502b57f13;71;3
$1;1704998681926749278;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681926616215;1704998681926731634;0db502b57f13;77;5
$1;1704998681926801006;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681926587681;1704998681926794404;0db502b57f13;76;4
$1;1704998681928800004;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681926293362;1704998681928772773;0db502b57f13;74;4
$1;1704998681928889975;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681922663326;1704998681928880728;0db502b57f13;71;3
$1;1704998681929153927;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681929009983;1704998681929144609;0db502b57f13;77;5
$1;1704998681929204523;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681928978764;1704998681929198361;0db502b57f13;76;4
$1;1704998681930978252;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681929188181;1704998681930956460;0db502b57f13;78;4
$1;1704998681931075056;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681926494634;1704998681931052523;0db502b57f13;75;3
$1;1704998681931274945;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681931172170;1704998681931267912;0db502b57f13;81;5
