$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401060253913335;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060253719402;1690401060253808521;203b795dd534;101;5
$1;1690401060253989460;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060253699514;1690401060253982517;203b795dd534;100;4
$1;1690401060257429788;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060256047582;1690401060257414228;203b795dd534;102;4
$1;1690401060257489251;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060253641594;1690401060257483510;203b795dd534;99;3
$1;1690401060257647802;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060257561478;1690401060257642131;203b795dd534;105;5
$1;1690401060257674062;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060257544996;1690401060257670475;203b795dd534;104;4
$1;1690401060260837069;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060259454163;1690401060260822722;203b795dd534;106;4
$1;1690401060260889348;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060257508978;1690401060260882886;203b795dd534;103;3
$1;1690401060261074851;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060260959331;1690401060261043501;203b795dd534;109;5
$1;1690401060261105850;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060260941808;1690401060261101361;203b795dd534;108;4
$1;1690401060264275991;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060262979358;1690401060264249631;203b795dd534;110;4
$1;1690401060264331276;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060260905910;1690401060264325485;203b795dd534;107;3
